seed,e3,ratio_e5,ratio_e10,ratio_e15,endpoint_log_ratio,ema_log_ratio_alpha_0_5,slope_log_ratio,weighted_slope_log_ratio,forecast_log_ratio_e18,mean_log_ratio,slurm_job_id,wandb_run_id,best_p4_epoch,validation_full_accuracy,validation_dominant_accuracy,validation_weak_accuracy,endpoint_log_ratio_minus_e3_0,ema_log_ratio_alpha_0_5_minus_e3_0,slope_log_ratio_minus_e3_0,weighted_slope_log_ratio_minus_e3_0,forecast_log_ratio_e18_minus_e3_0,mean_log_ratio_minus_e3_0
83,0,0.42162496417956,0.26364985141970165,0.22229845476964022,-1.5037344091398779,-1.3010603163488117,-0.06400953385814961,-0.05572742268712895,-1.690202112896043,-1.2335022854184565,20361984,zlcpemfb,10,0.8598,0.1214,0.8066,0.0,0.0,0.0,0.0,0.0,0.0
83,20,8.707583368243466,9.515837215034633,10.200521201527083,2.322438817173687,2.2655073544270783,0.01582445196584895,0.015290165993286949,2.369553434865744,2.2465302001782086,20361985,91vt7v25,5,0.8874,0.8248,0.3156,3.826173226313565,3.56656767077589,0.07983398582399856,0.0710175886804159,4.059755547761787,3.480032485596665
83,40,7.011449123187655,8.24445716000782,8.497655290401791,2.1397902772551367,2.084166517907073,0.019224587529205205,0.015573960493740806,2.1950128817385344,2.0656252647910516,20361986,vgxt35d8,25,0.8874,0.8212,0.4,3.643524686395015,3.3852268342558847,0.08323412138735482,0.07130138318086976,3.8852149946345773,3.299127550209508
83,60,4.526987960986998,5.624711306955555,6.06280711497203,1.8021729131202378,1.71039306471908,0.029211610404989503,0.025273860750852722,1.887163802107377,1.679799781918694,20361987,xfzj3s66,35,0.8914,0.8178,0.4758,3.305907322260116,3.0114533810678914,0.09322114426313911,0.08100128343798167,3.57736591500342,2.913302067337151
83,80,1.6837457135974279,1.3357944466590088,1.2094067826167534,0.19012997709059062,0.2977017657896983,-0.033089092590097555,-0.02942874190403004,0.09332038622210204,0.33355902868940085,20361988,zswpbwcv,40,0.8912,0.5848,0.7728,1.6938643862304685,1.59876208213851,0.03092044126805206,0.02629868078309891,1.783522499118145,1.5670613141078573
83,100,0.7390036636985805,0.4052188369654649,0.3487780029943759,-1.0533196537456833,-0.8281049318783555,-0.07508672533430048,-0.06259306414522925,-1.2701911506045789,-0.7530333579225795,20361990,vytybi4b,35,0.8706,0.2212,0.8008,0.4504147553941946,0.47295538447045615,-0.011077191476150869,-0.0068656414581002995,0.42001096229146406,0.480468927495877
184,0,0.3685232163670266,0.2769783884439111,0.2308924555322021,-1.4658032373339231,-1.303418459387227,-0.04675516703494663,-0.04388513098897012,-1.6041416963045894,-1.2492902000716615,20361991,1ch7z0ld,20,0.8308,0.1176,0.7724,0.0,0.0,0.0,0.0,0.0,0.0
184,20,5.01598749466604,5.441178885806151,5.787828899134155,1.7557572470216773,1.7045351371554778,0.014312693678307264,0.013769483262258705,1.798330597669008,1.687461100533411,20361992,cmbwtdt9,10,0.8688,0.7664,0.3782,3.2215604843556003,3.0079535965427047,0.061067860713253895,0.05765461425122883,3.4024722939735974,2.9367513006050725
184,40,2.7807786907000778,3.7721171771714417,3.941557518909007,1.371575954563448,1.2733798328655723,0.03488449615144897,0.02765332409555143,1.4713741823144642,1.2406477922996137,20361993,sofvr9wb,30,0.88,0.7632,0.4358,2.837379191897371,2.576798292252799,0.0816396631863956,0.07153845508452156,3.0755158786190533,2.489937992371275
184,60,0.7833156346631535,0.583723961981433,0.52256784533896,-0.6490004560339536,-0.5201368856547037,-0.04047809012196238,-0.03539526598258614,-0.7670219412918267,-0.47718236219495386,20361994,x3szgxy3,35,0.8586,0.415,0.6994,0.8168027812999695,0.7832815737325232,0.00627707691298425,0.008489865006383983,0.8371197550127627,0.7721078378767077
184,80,0.4569805131464054,0.3268723416178678,0.30344474714095054,-1.1925557373099769,-1.0716028953370875,-0.04094412074954053,-0.033720292319471094,-1.3105377696213492,-1.0312852813461244,20361995,bxitm8jd,25,0.8464,0.2926,0.7514,0.27324750002394627,0.23181556405013937,0.005811046285406102,0.010164838669499028,0.2936039266832402,0.21800491872553707
184,100,0.42388260583881054,0.3018309443586278,0.25046978974412154,-1.3844169655538272,-1.2062552178635815,-0.0526118230445563,-0.048370624170747265,-1.539404746087662,-1.1468679686334993,20361996,i5c6vmpa,40,0.8398,0.1606,0.7624,0.08138627178009594,0.09716324152364542,-0.005856656009609669,-0.004485493181777142,0.06473695021692727,0.1024222314381622
285,0,0.25422539213005185,0.15604245367388953,0.10472134645558887,-2.256452299789461,-1.9350164510631964,-0.08869182649360918,-0.08621827620938745,-2.5208669514819495,-1.8278711681544415,20361999,9vtu8nro,25,0.8374,0.1,0.8172,0.0,0.0,0.0,0.0,0.0,0.0
285,20,12.148213728746656,14.751588711923583,16.771427335615865,2.8196766846530843,2.706971574085723,0.03224945438849155,0.03042500064556615,2.9152000460491916,2.669403203896603,20362000,bhx1vaq9,30,0.8794,0.8418,0.1922,5.076128984442546,4.64198802514892,0.12094128088210074,0.1166432768549536,5.436066997531141,4.497274372051045
285,40,9.936946046032773,12.83574405258273,13.633900024779521,2.6125593401265235,2.518403049530466,0.03162996054952598,0.026208685790390235,2.7038091891363356,2.4870176193317803,20362001,uxq4p23j,30,0.8818,0.8426,0.1824,4.869011639915985,4.453419500593663,0.12032178704313516,0.11242696199977768,5.224676140618286,4.314888787486222
285,60,5.09611887237676,8.079023330363626,9.208176200855972,2.2200918068637754,2.0394834621504847,0.05916125622614295,0.05001800624063584,2.3914364791395464,1.9792806805793877,20362002,f755gq6a,25,0.8822,0.8268,0.356,4.476544106653236,3.9744999132136813,0.14785308271975212,0.13623628245002328,4.912303430621495,3.807151848733829
285,80,0.6777374777805125,0.36768601546159574,0.3073383794360416,-1.1798059252391537,-0.9372832603203312,-0.0790810658302084,-0.06710372039802628,-1.4090071159627482,-0.8564423720140569,20362003,kmywfotu,5,0.8574,0.376,0.7644,1.0766463745503074,0.9977331907428653,0.009610760663400789,0.019114555811361164,1.1118598355192013,0.9714287961403846
285,100,0.3263988485573408,0.21451439374479314,0.1774752756117303,-1.728923972097024,-1.5292153917391924,-0.06092887884943913,-0.05455027049780286,-1.9074277888987998,-1.4626458649532488,20362004,u91qyb6t,15,0.8434,0.1488,0.7996,0.5275283276924372,0.405801059324004,0.027762947644170054,0.03166800571158459,0.6134391625831497,0.36522530320119273
