seed,condition,epoch,tfim_left,tfim_right,ratio_left_to_right
83,bimodal,5,44.81178540954589,176.5701443847656,0.25379027431524304
83,bimodal,10,59.59776198425292,162.11482973632815,0.3676268360973591
83,bimodal,15,56.81799029846195,163.35615795898445,0.34781664166749604
83,bimodal,20,58.40329572753907,151.72352946777343,0.3849323561514999
83,bimodal,25,59.80794447021484,186.02477421875005,0.3215052655382295
83,bimodal,30,66.30602836914065,166.34150881347657,0.39861384446123427
83,bimodal,35,73.01475275268555,172.24957548828127,0.4238893041981486
83,bimodal,40,63.52127773742675,152.9381549804688,0.41533963644341393
83,bimodal,45,70.37185387573243,168.41307482910156,0.4178526750214072
83,bimodal,50,59.33543321533201,152.66093586425785,0.38867463266279145
83,left_proper,5,174.60891206054677,0,
83,left_proper,10,159.6574799560547,0,
83,left_proper,15,137.70984274902347,0,
83,left_proper,20,143.84364267578135,0,
83,left_proper,25,141.33606472167975,0,
83,left_proper,30,153.4138870117188,0,
83,left_proper,35,140.1927702636718,0,
83,left_proper,40,148.33654655761708,0,
83,left_proper,45,145.49568051757808,0,
83,left_proper,50,149.84354360351563,0,
83,right_proper,5,0,124.3990441650391,
83,right_proper,10,0,131.51351892089846,
83,right_proper,15,0,133.43217770996094,
83,right_proper,20,0,142.5507560058593,
83,right_proper,25,0,135.47060002441404,
83,right_proper,30,0,127.21956791992191,
83,right_proper,35,0,144.86197583007817,
83,right_proper,40,0,147.69791176757812,
83,right_proper,45,0,144.95444399414063,
83,right_proper,50,0,178.54089384765626,
184,bimodal,5,34.28033897705078,134.19227734375002,0.2554568684961255
184,bimodal,10,32.355831066894545,161.38921455078136,0.20048323014060068
184,bimodal,15,36.56723690795897,145.68884016113287,0.2509954560527379
184,bimodal,20,31.08549264221191,145.85088876953125,0.21313200679856578
184,bimodal,25,34.85654924621582,146.17062385253905,0.23846480434367473
184,bimodal,30,38.05286361083986,145.27101215820304,0.2619439557437197
184,bimodal,35,38.30803563842775,152.79068229980467,0.2507223282986039
184,bimodal,40,43.82580904846193,174.69805139160147,0.2508660438364985
184,bimodal,45,46.06033623046875,158.06272937011727,0.2914054209950806
184,bimodal,50,50.4236662384033,191.72687258300786,0.26299738543547524
184,left_proper,5,135.6270549316406,0,
184,left_proper,10,153.99683640136712,0,
184,left_proper,15,149.3874983154298,0,
184,left_proper,20,136.32789472656248,0,
184,left_proper,25,145.23505139160162,0,
184,left_proper,30,165.38736716308588,0,
184,left_proper,35,160.66668503417966,0,
184,left_proper,40,150.43687446289056,0,
184,left_proper,45,166.2103819213867,0,
184,left_proper,50,145.871062109375,0,
184,right_proper,5,0,122.82142863769535,
184,right_proper,10,0,176.75495183105474,
184,right_proper,15,0,178.2910207763673,
184,right_proper,20,0,163.3506950195312,
184,right_proper,25,0,179.4605228759766,
184,right_proper,30,0,184.89699096679678,
184,right_proper,35,0,191.4272046875,
184,right_proper,40,0,208.33758625488278,
184,right_proper,45,0,195.82192687988288,
184,right_proper,50,0,221.87769726562507,
285,bimodal,5,44.74745148010254,97.2059610839844,0.46033649506911484
285,bimodal,10,42.58548823852538,116.82625559082025,0.36451984170600626
285,bimodal,15,60.90325130615233,116.436540625,0.5230596075500569
285,bimodal,20,59.84610166015626,104.25952355957028,0.5740108869530258
285,bimodal,25,62.800977227783235,101.10382857666018,0.6211533038644355
285,bimodal,30,62.80167370910644,110.85219548339849,0.5665352261875185
285,bimodal,35,72.91693791503904,120.24910236816407,0.6063823879491792
285,bimodal,40,66.30469955444337,104.93497486572265,0.631864633921763
285,bimodal,45,73.56907776489257,112.35370677490232,0.6547988473066417
285,bimodal,50,87.5335977355957,142.02295207519538,0.6163341655916114
285,left_proper,5,149.66207250976566,0,
285,left_proper,10,150.72578647460938,0,
285,left_proper,15,141.6464999023438,0,
285,left_proper,20,127.86968659667967,0,
285,left_proper,25,140.05956259765622,0,
285,left_proper,30,140.31718872070311,0,
285,left_proper,35,151.12519650878892,0,
285,left_proper,40,150.37099904785154,0,
285,left_proper,45,151.3077181884765,0,
285,left_proper,50,158.63617360839845,0,
285,right_proper,5,0,174.30133081054692,
285,right_proper,10,0,179.2958328125001,
285,right_proper,15,0,188.6943366210937,
285,right_proper,20,0,175.52070166015633,
285,right_proper,25,0,174.6667613769531,
285,right_proper,30,0,194.52719399414062,
285,right_proper,35,0,185.7280575195312,
285,right_proper,40,0,181.6486003417968,
285,right_proper,45,0,223.1953697265623,
285,right_proper,50,0,233.66417402343754,
