seed,phase_epoch,full_accuracy,dominant_accuracy,weak_accuracy,full_loss,weak_loss,dominant_ratio,weak_ratio,parity_gap,checkpoint_path,checkpoint_retained
83,44,0.8464,0.8304,0.7934,0.9914399124661954,0.6841527252635369,0.9662555271119385,0.9327533505760639,-0.03350217653587462,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_44.pth",True
83,48,0.8514,0.8304,0.7904,0.9711816845170622,0.7257272401813518,0.9662555271119385,0.9292264284034799,-0.03702909870845861,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_48.pth",True
83,52,0.853,0.8304,0.787,0.9613694563243311,0.7298294610073347,0.9662555271119385,0.925229249941218,-0.04102627717072049,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_52.pth",True
83,56,0.8428,0.8304,0.795,1.0439567483161285,0.732619880529159,0.9662555271119385,0.9346343757347755,-0.03162115137716304,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_56.pth",True
83,60,0.8502,0.8304,0.8022,0.9812883598001158,0.706518266026663,0.9662555271119385,0.9430989889489771,-0.02315653816296137,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_60.pth",True
83,64,0.8556,0.8304,0.7912,0.9280132908741345,0.7837668828340437,0.9662555271119385,0.9301669409828356,-0.03608858612910293,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_64.pth",True
83,68,0.8486,0.8304,0.7914,0.9526785291153119,0.7668642908822092,0.9662555271119385,0.9304020691276745,-0.03585345798426398,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_68.pth",True
83,72,0.8426,0.8304,0.7964,1.029913407806186,0.7252589401213452,0.9662555271119385,0.936280272748648,-0.029975254363290516,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_72.pth",True
83,76,0.8538,0.8304,0.7984,0.9551335444545979,0.7649077571784788,0.9662555271119385,0.9386315541970374,-0.02762397291490115,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_76.pth",True
83,80,0.8502,0.8304,0.7996,1.002235292102531,0.7761942075916735,0.9662555271119385,0.9400423230660709,-0.026213204045867577,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_80.pth",True
83,84,0.8498,0.8304,0.8018,1.0020741915377198,0.7530327795469632,0.9662555271119385,0.9426287326592993,-0.023626794452639266,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_84.pth",True
83,88,0.842,0.8304,0.8036,1.0500825982817779,0.7477593285214095,0.9662555271119385,0.9447448859628497,-0.02151064114908885,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_88.pth",True
83,92,0.8452,0.8304,0.8048,1.014274305620361,0.7829908227882914,0.9662555271119385,0.9461556548318834,-0.020099872280055164,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_92.pth",True
83,96,0.8466,0.8304,0.8108,1.0183289462352998,0.767933690571401,0.9662555271119385,0.9532094991770514,-0.013046027934887072,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_96.pth",True
83,100,0.8606,0.8304,0.8066,0.9296792250963201,0.8016057569662978,0.9662555271119385,0.9482718081354338,-0.017983718976504748,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_100.pth",True
83,104,0.8532,0.8304,0.8048,0.9652493233543857,0.8151987510966511,0.9662555271119385,0.9461556548318834,-0.020099872280055164,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_104.pth",True
83,108,0.8532,0.8304,0.7974,0.9306529803268432,0.8860173528324035,0.9662555271119385,0.9374559134728426,-0.02879961363909589,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_108.pth",True
83,112,0.8492,0.8304,0.8118,1.0032421057304564,0.8102558903314683,0.9662555271119385,0.9543851399012461,-0.011870387210692446,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_112.pth",True
83,116,0.8542,0.8304,0.8118,1.017186488836043,0.8240026963551937,0.9662555271119385,0.9543851399012461,-0.011870387210692446,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_116.pth",True
83,120,0.8536,0.8304,0.804,0.9962211278043288,0.8666915397942675,0.9662555271119385,0.9452151422525277,-0.021040384859410843,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_120.pth",True
83,124,0.8534,0.8304,0.8108,0.9961139387959631,0.8604716244545966,0.9662555271119385,0.9532094991770514,-0.013046027934887072,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_124.pth",True
83,128,0.8566,0.8304,0.8146,0.9910046454711742,0.8095757270626367,0.9662555271119385,0.9576769339289912,-0.008578593182947292,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_128.pth",True
83,132,0.8552,0.8304,0.809,0.9715605637876935,0.8789991178840472,0.9662555271119385,0.9510933458735011,-0.015162181238437378,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_132.pth",True
83,136,0.8506,0.8304,0.8164,1.0523405849381948,0.8355437425510083,0.9662555271119385,0.9597930872325418,-0.006462439879396764,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_136.pth",True
83,140,0.854,0.8304,0.8146,1.003997285143474,0.8655164577195501,0.9662555271119385,0.9576769339289912,-0.008578593182947292,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_140.pth",True
83,144,0.8552,0.8304,0.8136,1.0025412956897217,0.9252377972901688,0.9662555271119385,0.9565012932047966,-0.009754233907141918,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_144.pth",True
83,148,0.858,0.8304,0.8062,1.0123078451683611,0.8948684197527904,0.9662555271119385,0.947801551845756,-0.018453975266182532,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_148.pth",True
