job_id,seed,e3,selected_p4_epoch,validation_full_accuracy,validation_dominant_accuracy,validation_weak_accuracy,slurm_log,tfim_trace_artifact,trace_left_e5,trace_right_e5,ratio_e5,trace_left_e8,trace_right_e8,ratio_e8,trace_left_e11,trace_right_e11,ratio_e11,trace_left_e14,trace_right_e14,ratio_e14,trace_left_e17,trace_right_e17,ratio_e17,prefix4_endpoint_log_ratio,full5_endpoint_log_ratio,prefix4_ema_log_ratio_alpha_0_5,full5_ema_log_ratio_alpha_0_5,prefix4_slope_log_ratio,full5_slope_log_ratio,prefix4_weighted_slope_log_ratio,full5_weighted_slope_log_ratio,prefix4_forecast_log_ratio_e18,full5_forecast_log_ratio_e18,prefix4_mean_log_ratio,full5_mean_log_ratio,slope_sign_agrees,gold_full_accuracy,gold_dominant_accuracy,gold_weak_accuracy,full_accuracy_gap_abs,dominant_accuracy_gap_abs,weak_accuracy_gap_abs,branch_accuracy_gap_mean_abs
20384455,83,70,175,0.8992,0.8216,0.5752,p4ref-s83-e70-20384455.out,trace_fim_train.jsonl,92.5129615722656,30.247624349975585,3.058519906795136,103.05712746582026,32.832301078796384,3.1388944333905,127.72446583251956,35.80851636047362,3.5668739838744243,97.99758400878909,25.69175261077881,3.8143596133246174,114.41447568359374,29.188892315673826,3.9197950363768883,1.3387727904430737,1.3660393657968284,1.2700340089545155,1.318036687375672,0.026344799234658746,0.023037288622509776,0.027312931101921786,0.0213927195831349,1.4494668895541143,1.400056201802611,1.2180660307191222,1.2476606977346634,True,0.9088,0.6476,0.7614,0.009600000000000053,0.17400000000000004,0.18619999999999992,0.18009999999999998
20386248,83,78,190,0.9006,0.7036,0.7764,p4ref-s83-e78-20386248.out,trace_fim_train.jsonl,67.54518392333983,40.31965678100586,1.6752420312133014,84.58456756591795,56.15000081787106,1.5064036714923716,67.27397738647464,48.83434978332521,1.377595432738281,69.57887297363284,55.11943399658204,1.2623292326888926,85.28312515869132,62.156383630371124,1.372073470398236,0.23295861178223112,0.316323077722893,0.31227453905682445,0.3142988083898587,-0.03127942380731047,-0.01920118901876039,-0.030686330473024825,-0.011985795020286542,0.10838413962975568,0.2644607114057753,0.36974523444947033,0.35906080310415484,True,0.9088,0.6476,0.7614,0.008200000000000096,0.05600000000000005,0.015000000000000013,0.03550000000000003
20381629,83,80,195,0.905,0.6408,0.7722,p4tfim-s83-e80-20381629.out,trace_fim_train.jsonl,75.62560242919919,44.534350006103516,1.6981409230492954,81.61985951538088,52.45937935485841,1.555867803501719,70.21070198974611,53.37648608398435,1.315386361748654,75.05600061035156,63.47277055969238,1.1824913235637302,73.34258607177736,57.78571535644528,1.2692165437092664,0.16762350399020803,0.23839981539554964,0.273790303037202,0.2560950592163758,-0.04178782504281501,-0.02855594947229786,-0.0420679770679678,-0.020922258841013928,-0.004097379605794926,0.1723869364152949,0.353330369658905,0.3303442588062339,True,0.9088,0.6476,0.7614,0.0038000000000000256,0.006799999999999917,0.010800000000000032,0.008799999999999975
20386249,83,82,190,0.8968,0.5526,0.7898,p4ref-s83-e82-20386249.out,trace_fim_train.jsonl,78.48146645507813,55.486883102416975,1.4144147571166805,65.17049284057617,58.71569972534181,1.1099329994041465,65.78061079711911,63.53249643859859,1.035385265196775,67.5474338439941,80.84016668395999,0.8355677198002263,65.61164644775391,79.58415272216794,0.8244310469513629,-0.17964388120889416,-0.19306177061750385,-0.024751604647842776,-0.1089066876326733,-0.05495350802861321,-0.045449958923548195,-0.0548136650637937,-0.039895881595676926,-0.3892733131013646,-0.26476797430585325,0.0765363030211201,0.022616688293395314,True,0.9088,0.6476,0.7614,0.01200000000000001,0.09499999999999997,0.02839999999999998,0.06169999999999998
20384457,83,90,165,0.8852,0.3698,0.7966,p4ref-s83-e90-20384457.out,trace_fim_train.jsonl,75.95167126464843,73.89466459960937,1.0278370103397452,66.99547720336913,90.33742947998047,0.7416137198126569,53.275592321777324,90.4251249694825,0.5891680245896587,56.37181428833009,107.89129700317383,0.5224871309535419,51.36580239868163,110.80436557617183,0.4635720088854117,-0.6491549252004751,-0.7687935470671061,-0.490772198916519,-0.6297828729918126,-0.07533172295590358,-0.06475761543795318,-0.06840079136612716,-0.05648653331551892,-0.9501233672659344,-0.8506857572310039,-0.3624172376670851,-0.4436924995470893,True,0.9088,0.6476,0.7614,0.023600000000000065,0.27779999999999994,0.03520000000000001,0.15649999999999997
20380598,83,100,190,0.881,0.2942,0.8046,p4tfim-s83-e100-20380598.out,trace_fim_train.jsonl,59.001380773925796,86.77615961303711,0.6799261566307897,46.36562012939454,95.90775687866213,0.4834397298064596,42.440763171386706,101.6062077453613,0.41769852515266953,42.24354462585446,119.97821658935551,0.352093453167977,33.50294364318847,107.01526367797851,0.313066963108013,-1.0438586466663122,-1.1613381716815914,-0.8792531211393999,-1.0202956464104957,-0.07068098042794765,-0.06227214014684651,-0.0655409304784719,-0.055825747674515314,-1.318964245382806,-1.2378803411250348,-0.7573634226885009,-0.838158372487119,True,0.9088,0.6476,0.7614,0.027800000000000047,0.35339999999999994,0.043200000000000016,0.19829999999999998
20381627,184,44,20,0.8796,0.7548,0.511,p4tfim-s184-e44-20381627.out,trace_fim_train.jsonl,73.44556678466802,28.81937137145997,2.5484791300340195,89.3793706665039,30.644099432373036,2.9166910424649353,100.56261402587896,29.057230487060533,3.460846471865081,104.20022493896485,30.226006649780285,3.447369867126122,105.9564680908203,28.07085065460204,3.77460836312351,1.2376115829463774,1.3282966324511727,1.1799274088635894,1.254112020657381,0.035913596633732385,0.031758718515728396,0.03074224197779091,0.027747490390112397,1.3874245604662456,1.3624300589822134,1.1212678294682394,1.162673590064826,True,0.8934,0.5296,0.7716,0.013799999999999923,0.22520000000000007,0.26059999999999994,0.2429
20384859,184,47,185,0.8842,0.7652,0.439,p4ref-s184-e47-20384859.out,trace_fim_train.jsonl,82.68420898437502,38.698122961425796,2.136646493476863,77.37654057617188,34.17892048187256,2.2638672964330744,77.51810747070316,29.42784599761964,2.634175371277778,87.7261410888672,28.424574281311035,3.0862780864455557,94.50895089111326,30.023336158752453,3.147849726497131,1.126965862144731,1.1467195932331349,1.0026644869019234,1.074692040067529,0.04182268670098286,0.03616184743529484,0.04496737224253244,0.0338149599771696,1.2973948560484283,1.2043156884593635,0.9179620319610834,0.9637135442154937,True,0.8934,0.5296,0.7716,0.009199999999999986,0.23560000000000003,0.33259999999999995,0.2841
20381655,184,50,185,0.882,0.7638,0.5394,p4tfim-s184-e50-20381655.out,trace_fim_train.jsonl,69.99037481079101,42.185226007080075,1.6591205319431437,70.31397344360349,39.114996125793446,1.7976218891389175,67.89046333007808,33.6368744720459,2.018334466417044,83.88291681518557,36.83924434509277,2.2769988373803303,91.5979225219726,40.15429948272706,2.281148555198694,0.8228582764887319,0.8246790684058942,0.723591335755492,0.7741352020806931,0.03551732915645299,0.029105882357865723,0.036791042147533946,0.025756420712156468,0.9660615233749819,0.8739654500388723,0.6544708017113059,0.6885124550502235,True,0.8934,0.5296,0.7716,0.011399999999999966,0.23420000000000007,0.23219999999999996,0.23320000000000002
20384456,184,55,180,0.882,0.6324,0.6866,p4ref-s184-e55-20384456.out,trace_fim_train.jsonl,69.03069382934571,62.18343489990232,1.1101138720967993,50.66137155761715,53.46446860351562,0.9475708403716671,59.5103728149414,60.83546741027829,0.9782183852880905,54.757386059570315,60.88777932739257,0.8993165222520907,61.57306256103514,62.94593900451662,0.9781895928188115,-0.10612022388295464,-0.022051770047346937,-0.052239568664911286,-0.03714566935612911,-0.019997240701252035,-0.010176512659841848,-0.01828276438903925,-0.0039573338536921755,-0.1761178078131516,-0.05655630686986762,-0.019383385409109468,-0.019917062336756962,True,0.8934,0.5296,0.7716,0.011399999999999966,0.1028,0.08499999999999996,0.09389999999999998
