threshold,seed,stop_epoch,selected_epoch,stop_reason,selection_status,selected_checkpoint,selected_recovery_fraction,selected_parity_gap,selected_weak_accuracy,selected_dominant_accuracy,selected_full_accuracy,baseline_weak_accuracy,baseline_dominant_accuracy,baseline_full_accuracy,unimodal_left_accuracy,unimodal_right_accuracy
0.99,83,184,180,relative_recovery_reached,first_recovery_checkpoint,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_180.pth",0.9916468489646924,-0.005521927300040974,0.8172,0.8304,0.859,0.2596,0.8304,0.8788,0.8594,0.8506
0.99,184,80,76,relative_recovery_reached,first_recovery_checkpoint,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-180128/checkpoints/model_step_phase3_candidate_epoch_76.pth",0.9921174479480607,-0.005827951364438255,0.7936,0.8068,0.7938,0.166,0.8068,0.8646,0.8644,0.8556
0.99,285,200,156,max_epochs,best_weak_ratio,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-193033/checkpoints/model_step_phase3_candidate_epoch_156.pth",0.9935913727481326,-0.0049752981458370815,0.8056,0.8144,0.8428,0.145,0.8144,0.8734,0.8612,0.8564
1.0,83,200,188,max_epochs,best_weak_ratio,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_188.pth",0.9973377921438297,-0.001759876982618036,0.8204,0.8304,0.8578,0.2596,0.8304,0.8788,0.8594,0.8506
1.0,184,116,112,relative_parity_reached,first_parity_checkpoint,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-180128/checkpoints/model_step_phase3_candidate_epoch_112.pth",1.0022346430832865,0.0016521795378526827,0.8,0.8068,0.797,0.166,0.8068,0.8646,0.8644,0.8556
1.0,285,200,156,max_epochs,best_weak_ratio,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-193033/checkpoints/model_step_phase3_candidate_epoch_156.pth",0.9935913727481326,-0.0049752981458370815,0.8056,0.8144,0.8428,0.145,0.8144,0.8734,0.8612,0.8564
