seed,wandb_run_id,first_observed_phase_epoch,weak_accuracy,dominant_accuracy,weak_minus_dominant,paired_ci_lower,paired_ci_upper
83,pr4byikq,5,0.6916,0.5564,0.1352,0.10344366716336809,0.1669563328366319
184,rxmj419y,5,0.6676,0.5616,0.1060,0.07355866880567218,0.13844133119432783
285,9ghnidgh,5,0.6058,0.4826,0.1232,0.0900620831462941,0.1563379168537059
