seed,phase_epoch,global_step,tfim_left,tfim_right,ratio_left_to_right
83,10,3168,136.928632421875,16.312307688903807,8.394191308342778
83,20,6688,171.8908380126954,19.511287391662595,8.809815237303848
184,10,3168,95.41272658691406,25.747279389953604,3.705740117240688
184,20,6688,116.25024926757808,28.540901837158202,4.073110564105441
285,10,3168,164.53206499023437,12.47404070892334,13.189957228548282
285,20,6688,153.41618037109376,10.719644746398927,14.311684975991893
